"id","code","name","account_type","reconcile"
"account_py_50602_expense","5.06.02","COSTO DE OTROS PRODUCTOS AGRÍCOLAS EXPORTADOS","expense","False"
"account_py_50701_expense","5.07.01","COSTO DE PRODUCTOS FARMACÉUTICOS EXPORTADOS","expense","False"
"account_py_50702_expense","5.07.02","COSTO DE MAQUINARIAS Y EQUIPOS EXPORTADOS","expense","False"
"account_py_50703_expense","5.07.03","COSTO DE OTROS PRODUCTOS INDUSTRIALIZADOS EXPORTADOS","expense","False"
"account_py_508_expense","5.08","COSTO DE OTROS PRODUCTOS EXPORTADOS","expense","False"
"account_py_509_expense","5.09","COSTO DE SERVICIOS GRAVADOS","expense","False"
"account_py_51001_expense","5.10.01","COSTO DE VENTAS RÉGIMEN DE TURISMO","expense","False"
"account_py_51002_expense","5.10.02","COSTO DE VENTAS ZONA FRANCA","expense","False"
"account_py_51003_expense","5.10.03","COSTO DE VENTAS RÉGIMEN DE MAQUILA","expense","False"
"account_py_51004_expense","5.10.04","COSTO DE VENTAS OTROS REGÍMENES ESPECIALES","expense","False"
"account_py_511_expense","5.11","COSTO DE VENTAS EXENTAS DEL IVA","expense","False"
"account_py_70101_income","7.01.01","INGRESOS POR PRODUCCIÓN Y/O TENENCIA DE BIENES DEL SECTOR AGRÍCOLA","income_other","False"
"account_py_70102_income","7.01.02","INGRESOS POR PRODUCCIÓN Y/O TENENCIA DE GANADO","income_other","False"
"account_py_70103_income","7.01.03","INGRESOS POR PRODUCCIÓN Y/O TENENCIA DE BIENES DE LA ACTIVIDAD FORESTAL","income_other","False"
"account_py_70201_expense","7.02.01","COSTO DE PRODUCCIÓN Y/O TENENCIA DE BIENES DEL SECTOR AGRÍCOLA","expense","False"
"account_py_70202_expense","7.02.02","COSTO DE PRODUCCIÓN Y/O TENENCIA DE GANADO","expense","False"
"account_py_70203_expense","7.02.03","COSTO DE PRODUCCIÓN Y/O TENENCIA DE BIENES DE LA ACTIVIDAD FORESTAL","expense","False"
"account_py_70204_expense","7.02.04","MERMAS Y MORTANDAD","expense","False"
"account_py_801_income","8.01","INTERESES GANADOS","income_other","False"
"account_py_802_income","8.02","COMISIONES COBRADAS","income_other","False"
"account_py_803_income","8.03","DESCUENTOS OBTENIDOS","income_other","False"
"account_py_804_income","8.04","SUBVENCIONES","income_other","False"
"account_py_805_income","8.05","RESULTADO POR DIFERENCIA DE CAMBIO","income_other","False"
"account_py_100101_expense","10.01.01","SUELDOS Y JORNALES","expense","False"
"account_py_100102_expense","10.01.02","APORTE PATRONAL","expense","False"
"account_py_100103_expense","10.01.03","OTROS BENEFICIOS AL PERSONAL","expense","False"
"account_py_1002_expense","10.02","COMISIONES PAGADAS SOBRE VENTAS","expense","False"
"account_py_1003_expense","10.03","VIÁTICOS A VENDEDORES","expense","False"
"account_py_1004_expense","10.04","PUBLICIDAD Y PROPAGANDA","expense","False"
"account_py_1005_expense","10.05","FLETES PAGADOS","expense","False"
"account_py_1099_expense","10.99","OTROS GASTOS DE VENTAS","expense","False"
"account_py_110101_expense","11.01.01","SUELDOS Y JORNALES ADM","expense","False"
"account_py_110102_expense","11.01.02","APORTE PATRONAL ADM","expense","False"
"account_py_110103_expense","11.01.03","OTROS BENEFICIOS AL PERSONAL ADM","expense","False"
"account_py_1102_expense","11.02","REMUNERACIÓN PERSONAL SUPERIOR","expense","False"
"account_py_1103_expense","11.03","GASTOS DE REPRESENTACIÓN","expense","False"
"account_py_1104_expense","11.04","HONORARIOS PROFESIONALES","expense","False"
"account_py_1105_expense","11.05","ALQUILERES","expense","False"
"account_py_1106_expense","11.06","AGUA, LUZ, TELÉFONO E INTERNET","expense","False"
"account_py_1107_expense","11.07","MOVILIDAD","expense","False"
"account_py_1108_expense","11.08","COMBUSTIBLES Y LUBRICANTES","expense","False"
"account_py_1109_expense","11.09","REPARACIONES Y MANTENIMIENTOS","expense","False"
"account_py_1110_expense","11.10","SEGUROS PAGADOS","expense","False"
"account_py_1111_expense","11.11","ÚTILES DE OFICINA","expense","False"
"account_py_1112_expense","11.12","GASTOS PAGADOS EN EL EXTERIOR","expense","False"
"account_py_1113_expense","11.13","JUICIOS Y GASTOS JUDICIALES","expense","False"
"account_py_1114_expense","11.14","GASTOS DE COBRANZAS","expense","False"
"account_py_1115_expense","11.15","DONACIONES Y CONTRIBUCIONES","expense","False"
"account_py_1116_expense","11.16","COMISIONES Y GASTOS BANCARIOS OPERACIONALES","expense","False"
"account_py_1117_expense","11.17","IMPUESTOS, PATENTES, TASAS Y OTRAS CONTRIBUCIONES","expense","False"
"account_py_1118_expense","11.18","MULTAS Y SANCIONES","expense","False"
"account_py_1301_expense","13.01","INTERESES PAGADOS A ENTIDADES BANCARIAS Y FINANCIERAS","expense","False"
"account_py_1302_expense","13.02","OTROS INTERESES PAGADOS","expense","False"
"account_py_1303_expense","13.03","COMISIONES Y GASTOS BANCARIOS SOBRE OPERACIONES CREDITICIAS","expense","False"
"account_py_1304_expense","13.04","RESULTADO POR DIFERENCIA DE CAMBIO","expense","False"
"account_py_1401_expense","14.01","DESAFECTACIÓN DE PREVISIONES","expense","False"
"account_py_1402_expense","14.02","CONSTITUCIÓN DE PREVISIONES","expense","False"
"account_py_1501_expense","15.01","DEPRECIACIONES DEL EJERCICIO","expense_depreciation","False"
"account_py_1502_expense","15.02","AMORTIZACIONES DEL EJERCICIO","expense_depreciation","False"
"account_py_1701_income","17.01","UTILIDAD/PÉRDIDA EN VENTA DE ACTIVOS FIJOS","income_other","False"
"account_py_1702_income","17.02","UTILIDAD/PÉRDIDA EN VENTA DE INVERSIONES","income_other","False"
"account_py_1703_income","17.03","CUENTAS INCOBRABLES RECUPERADAS","income_other","False"
"account_py_1900","19","IMPUESTO A LA RENTA","expense","False"
