gitgCodigo;Nome;Tipo
4.01;VENTAS DE MERCADERÍAS;Sintética
4.01.01;VENTAS DE MERCADERÍAS GRAVADAS POR EL IVA;Analítica
4.01.02;VENTAS DE MERCADERÍAS EXENTAS DEL IVA;Analítica
4.02;VENTAS DE PRODUCTOS AGRÍCOLAS;Sintética
4.02.01;VENTAS DE SOJA Y SUS DERIVADOS;Analítica
4.02.02;VENTAS DE MAÍZ;Analítica
4.02.03;VENTAS DE TRIGO;Analítica
4.02.04;OTROS PRODUCTOS AGRÍCOLAS;Analítica
4.03;VENTAS DE GANADO;Analítica
4.04;VENTAS DE PRODUCTOS FRUTÍCOLAS Y HORTÍCOLAS;Analítica
4.05;VENTAS DE PRODUCTOS DE LA EXPLOTACIÓN FORESTAL;Analítica
4.06;EXPORTACIONES DE PRODUCTOS AGRÍCOLAS EXPORTADOS;Sintética
4.06.01;EXPORTACIONES DE SOJA Y SUS DERIVADOS;Sintética
4.06.01.01;EXPORTACIONES A EMPRESAS VINCULADAS;Analítica
4.06.01.02;EXPORTACIONES A TERCEROS NO VINCULADOS;Analítica
4.06.02;EXPORTACIONES DE OTROS PRODUCTOS AGRÍCOLAS;Analítica
4.07;EXPORTACIONES DE BIENES INDUSTRIALIZADOS;Sintética
4.07.01;EXPORTACIONES DE PRODUCTOS FARMACÉUTICOS;Analítica
4.07.02;EXPORTACIONES DE MAQUINARIAS Y EQUIPOS;Analítica
4.07.03;EXPORTACIONES DE OTROS PRODUCTOS INDUSTRIALIZADOS;Analítica
4.08;EXPORTACIONES DE OTROS PRODUCTOS;Analítica
4.09;VENTAS DE SERVICIOS GRAVADOS;Analítica
4.10;VENTAS DE BIENES - REGÍMENES ESPECIALES;Sintética
4.10.01;VENTAS DE MERCADERIAS - REGIMEN DE TURISMO;Sintética
4.10.01.01;VENTAS A EXTRANJEROS;Analítica
4.10.01.02;VENTAS A DISTRIBUIDORES LOCALES;Analítica
4.10.01.03;VENTAS A CLIENTES LOCALES;Analítica
4.10.02;VENTAS DE MERCADERÍAS - ZONA FRANCA;Analítica
4.10.03;VENTAS POR RÉGIMEN DE MAQUILA;Analítica
4.10.04;VENTAS BAJO OTROS REGÍMENES ESPECIALES;Analítica
4.11;OTRAS VENTAS EXENTAS DEL IVA;Analítica
4.98;(-) DESCUENTOS CONCEDIDOS;Sintética
4.99;(-) DEVOLUCIONES;Sintética
5;COSTOS OPERATIVOS;Sintética
5.01;COSTO DE MERCADERÍAS;Sintética
5.01.01;COSTO DE MERCADERÍAS GRAVADAS POR EL IVA;Analítica
5.01.02;COSTO DE MERCADERÍAS EXENTAS DEL IVA;Analítica
5.02;COSTO DE PRODUCTOS AGRÍCOLAS;Sintética
5.02.01;COSTO DE VENTAS DE SOJA Y SUS DERIVADOS;Analítica
5.02.02;COSTO DE VENTAS DE MAÍZ;Analítica
5.02.03;COSTO DE VENTAS DE TRIGO;Analítica
5.02.04;COSTO DE VENTAS DE OTROS PRODUCTOS AGRÍCOLAS;Analítica
5.03;COSTO DE VENTAS DE GANADO;Analítica
5.04;COSTO DE VENTAS DE PRODUCTOS FRUTÍCOLAS Y HORTÍCOLAS;Analítica
5.05;COSTO DE VENTAS DE PRODUCTOS DE LA EXPLOTACIÓN FORESTAL;Analítica
5.06;COSTO DE PRODUCTOS AGRÍCOLAS EXPORTADOS;Sintética
5.06.01;COSTO  DE SOJA Y SUS DERIVADOS EXPORTADOS;Sintética
5.06.01.01;COSTO DE EXPORTACIONES A EMPRESAS VINCULADAS;Analítica
5.06.01.02;COSTO DE EXPORTACIONES A TERCEROS NO VINCULADOS;Analítica
5.06.02;COSTO DE OTROS PRODUCTOS AGRÍCOLAS EXPORTADOS;Analítica
5.07;COSTO DE BIENES INDUSTRIALIZADOS EXPORTADOS;Sintética
5.07.01;COSTO DE PRODUCTOS FARMACEÚTICOS EXPORTADOS;Analítica
5.07.02;COSTO DE MAQUINARIAS Y EQUIPOS EXPORTADOS;Analítica
5.07.03;COSTO DE OTROS PRODUCTOS INDUSTRIALIZADOS EXPORTADOS;Analítica
5.08;COSTO DE OTROS PRODUCTOS EXPORTADOS;Analítica
5.09;COSTO DE SERVICIOS GRAVADOS;Analítica
5.10;COSTO DE VENTAS DE BIENES - REGÍMENES ESPECIALES;Sintética
5.10.01;COSTO DE VENTAS DE MERCADERÍAS - RÉGIMEN DE TURISMO;Sintética
5.10.01.01;COSTO DE VENTAS A EXTRANJEROS;Analítica
5.10.01.02;COSTO DE VENTAS A DISTRIBUIDORES LOCALES;Analítica
5.10.01.03;COSTO DE VENTAS A CLIENTES LOCALES;Analítica
5.10.02;COSTO DE VENTAS DE MERCADERÍAS - ZONA FRANCA;Analítica
5.10.03;COSTO DE VENTAS POR RÉGIMEN DE MAQUILA;Analítica
5.10.04;COSTO DE VENTAS BAJO OTROS REGÍMENES ESPECIALES;Analítica
5.11;COSTO DE VENTAS EXENTAS DEL IVA;Analítica
6;GANANCIAS (O PÉRDIDAS) BRUTAS EN VENTAS;Analítica
7;INGRESOS POR ACTIVOS BIOLÓGICOS;Sintética
7.01;INGRESOS POR PRODUCCIÓN Y/O TENENCIA DE ACTIVOS BIOLÓGICOS;Sintética
7.01.01;INGRESOS POR PRODUCCIÓN Y/O TENENCIA DE BIENES DEL SECTOR AGRÍCOLA;Analítica
7.01.02;INGRESOS POR PRODUCCIÓN Y/O TENENCIA DE GANADO;Analítica
7.01.03;INGRESOS POR PRODUCCIÓN Y/O TENENCIA DE BIENES DE LA ACTIVIDAD FORESTAL;Analítica
7.02;(-) COSTO DE PRODUCCIÓN Y/O TENENCIA DE ACTIVOS BIOLÓGICOS;Sintética
7.02.01;(-) COSTO DE PRODUCCIÓN Y/O TENENCIA DE BIENES DEL SECTOR AGRÍCOLA;Analítica
7.02.02;(-) COSTO DE PRODUCCIÓN Y/O TENENCIA DE GANADO;Analítica
7.02.03;(-) COSTO DE PRODUCCIÓN Y/O TENENCIA DE BIENES DE LA ACTIVIDAD FORESTAL;Analítica
7.02.04;(-) MERMAS Y MORTANDAD;Analítica
8;OTROS INGRESOS;Sintética
8.01;INTERESES GANADOS;Analítica
8.02;COMISIONES COBRADAS;Analítica
8.03;DESCUENTOS OBTENIDOS;Analítica
8.04;SUBVENCIONES;Analítica
8.05;RESULTADO POR DIFERENCIA DE CAMBIO;Analítica
9;GANANCIAS (O PÉRDIDAS) BRUTAS TOTALES;Analítica
10;GASTOS DE VENTAS O COMERCIALIZACIÓN;Sintética
10.01;SUELDOS Y OTRAS REMUNERACIONES AL PERSONAL;Sintética
10.01.01;SUELDOS Y JORNALES;Analítica
10.01.02;APORTE PATRONAL;Analítica
10.01.03;OTROS BENEFICIOS AL PERSONAL;Analítica
10.02;COMISIONES PAGADAS SOBRE VENTAS;Analítica
10.03;VIÁTICOS A VENDEDORES;Analítica
10.04;PUBLICIDAD Y PROPAGANDA;Analítica
10.05;FLETES PAGADOS;Analítica
10.99;OTROS GASTOS DE VENTAS;Analítica
11;GASTOS DE ADMINISTRACIÓN;Sintética
11.01;SUELDOS Y OTRAS REMUNERACIONES AL PERSONAL;Sintética
11.01.01;SUELDOS Y JORNALES;Analítica
11.01.02;APORTE PATRONAL;Analítica
11.01.03;OTROS BENEFICIOS AL PERSONAL;Analítica
11.02;REMUNERACIÓN PERSONAL SUPERIOR;Analítica
11.03;GASTOS DE REPRESENTACIÓN;Analítica
11.04;HONORARIOS PROFESIONALES;Analítica
11.05;ALQUILERES;Analítica
11.06;"AGUA, LUZ, TELÉFONO E INTERNET";Analítica
11.07;MOVILIDAD;Analítica
11.08;COMBUSTIBLES Y LUBRICANTES;Analítica
11.09;REPARACIONES Y MANTENIMIENTOS;Analítica
11.10;SEGUROS PAGADOS;Analítica
11.11;ÚTILES DE OFICINA;Analítica
11.12;GASTOS PAGADOS EN EL EXTERIOR;Analítica
11.13;JUICIOS Y GASTOS JUDICIALES;Analítica
11.14;GASTOS DE COBRANZAS;Analítica
11.15;DONACIONES Y CONTRIBUCIONES;Analítica
11.16;COMISIONES Y GASTOS BANCARIOS OPERACIONALES;Analítica
11.17;"IMPUESTOS, PATENTES, TASAS Y OTRAS CONTRIBUCIONES";Analítica
11.18;MULTAS Y SANCIONES;Analítica
12;GANANCIAS (O PÉRDIDAS) ANTES DE GASTOS FINANCIEROS;Analítica
13;GASTOS BANCARIOS Y FINANCIEROS;Sintética
13.01;INTERESES PAGADOS A ENTIDADES BANCARIAS Y FINANCIERAS;Analítica
13.02;OTROS INTERESES PAGADOS;Analítica
13.03;COMISIONES Y GASTOS BANCARIOS SOBRE OPERACIONES CREDITICIAS;Analítica
13.04;RESULTADO POR DIFERENCIA DE CAMBIO;Analítica
14;PREVISIONES;Sintética
14.01;DESAFECTACIÓN DE PREVISIONES;Analítica
14.02;(-) CONSTITUCIÓN DE PREVISIONES;Analítica
15;DEPRECIACIONES Y AMORTIZACIONES DE ACTIVOS;Sintética
15.01;DEPRECIACIONES DEL EJERCICIO;Analítica
15.02;AMORTIZACIONES DEL EJERCICIO;Analítica
16;GANANCIAS (O PÉRDIDAS) OPERATIVAS;Analítica
17;OTROS RESULTADOS NO OPERATIVOS;Sintética
17.01;UTILIDAD/PÉRDIDA EN VENTA DE ACTIVOS FIJOS;Analítica
17.02;UTILIDAD/PÉRDIDA EN VENTA DE INVERSIONES;Analítica
17.03;CUENTAS INCOBRABLES RECUPERADAS;Analítica
18;GANANCIAS (O PÉRDIDAS ) ANTES DEL IMPUESTO A LA RENTA;Analítica
19;IMPUESTO A LA RENTA;Analítica
20;GANANCIAS/PÉRDIDAS NETAS DEL EJERCICIO;Analítica
