id,name,code,account_type,chart_template_id:id,reconcile
account_py_2404,ALQUILERES COBRADOS POR ADELANTADO,2.01.05.04,liability_current,py_chart_template,False
account_py_2501,PROVEEDORES LOCALES L/P,2.02.01.01,liability_non_current,py_chart_template,True
account_py_2502,PROVEEDORES DEL EXTERIOR L/P,2.02.01.02,liability_non_current,py_chart_template,True
account_py_2503,INTERESES A PAGAR A PROVEEDORES L/P,2.02.01.03,liability_non_current,py_chart_template,False
account_py_2504,OTROS ACREEDORES L/P,2.02.01.04,liability_non_current,py_chart_template,False
account_py_2601,PRÉSTAMOS DE BANCOS Y OTRAS ENTIDADES FINANCIERAS L/P,2.02.02.01,liability_non_current,py_chart_template,False
account_py_2602,"PRÉSTAMOS DEL DUEÑO, SOCIOS O ENTIDADES VINCULADAS L/P",2.02.02.02,liability_non_current,py_chart_template,False
account_py_2603,ARRENDAMIENTOS FINANCIEROS L/P,2.02.02.03,liability_non_current,py_chart_template,False
account_py_2604,OTROS PRÉSTAMOS L/P,2.02.02.04,liability_non_current,py_chart_template,False
account_py_2605,INTERESES A PAGAR L/P,2.02.02.05,liability_non_current,py_chart_template,False
account_py_2701,PASIVOS POR IMPUESTOS DIFERIDOS,2.02.03.01,liability_non_current,py_chart_template,False
account_py_2702,PASIVOS FIDUCIARIOS L/P,2.02.03.02,liability_non_current,py_chart_template,False
account_py_2801,OBLIGACIONES POR GARANTÍAS OTORGADAS L/P,2.02.04.01,liability_non_current,py_chart_template,False
account_py_2802,OBLIGACIONES LEGALES POR LITIGIOS PENDIENTES,2.02.04.02,liability_non_current,py_chart_template,False
account_py_2803,PROVISIONES PARA BENEFICIOS A EMPLEADOS L/P,2.02.04.03,liability_non_current,py_chart_template,False
account_py_2901,ANTICIPOS DE CLIENTES L/P,2.02.05.01,liability_non_current,py_chart_template,False
account_py_2902,SUBVENCIONES L/P,2.02.05.02,liability_non_current,py_chart_template,False
account_py_2903,DERECHO DE FIDELIZACIÓN DE CLIENTES L/P,2.02.05.03,liability_non_current,py_chart_template,False
account_py_2904,ALQUILERES COBRADOS POR ADELANTADO L/P,2.02.05.04,liability_non_current,py_chart_template,False
account_py_3001,CAPITAL SUSCRIPTO,3.01.01.01,equity,py_chart_template,False
account_py_3002,CAPITAL A INTEGRAR,3.01.01.02,equity,py_chart_template,False
account_py_3101,RESERVA LEGAL,3.02.01,equity,py_chart_template,False
account_py_320201,RESERVA DE REVALÚO FISCAL,3.02.02.01,equity,py_chart_template,False
account_py_320202,RESERVA DE REVALÚO TÉCNICO,3.02.02.02,equity,py_chart_template,False
