Код;Наименование
3433;Технически персонал в галерии, музеи и библиотеки
3434;Главни готвачи
3435;Други приложни специалисти в областта на изкуствата и културата
35;ТЕХНИЦИ В ОБЛАСТТА НА ИНФОРМАЦИОННИТЕ И КОМУНИКАЦИОННИ ТЕХНОЛОГИИ
351;Техници в областта на информационните и комуникационни технологии и обслужване на потребители
3511;Оперативни техници в областта на информационните и комуникационни технологии
3512;Техници по обслужване на потребители в областта на информационните и комуникационни технологии
3513;Техници на компютърни мрежи и системи
3514;Уеб техници
352;Техници по радио-, телевизионна и далекосъобщителна техника
3521;Техници по радио-, телевизионна и аудио-визуална техника
3522;Техници по далекосъобщителна техника
4;ПОМОЩЕН АДМИНИСТРАТИВЕН  ПЕРСОНАЛ
41;ОБЩИ АДМИНИСТРАТИВНИ СЛУЖИТЕЛИ И ОПЕРАТОРИ НА ОРГАНИЗАЦИОННА ТЕХНИКА
411;Общи административни служители
4110;Общи административни служители
412;Секретари с общи функции
4120;Секретари с общи функции
413;Оператори на организационна техника
4131;Машинописци и текстообработващи оператори
4132;Оператори по въвеждане на данни
42;АДМИНИСТРАТИВЕН ПЕРСОНАЛ ПО ОБСЛУЖВАНЕ НА КЛИЕНТИ
421;Касиери, инкасатори и сродни на тях
4211;Банкови касиери и сродни на тях
4212;Букмейкъри, крупиета и сродни на тях
4213;Комисионери и лихвари
4214;Инкасатори на дългови задължения и сродни на тях
422;Персонал, информиращ клиенти
4221;Консултанти и служители в пътнически агенции
4222;Оператори в контактни центрове
4223;Телефонисти
4224;Рецепционисти в хотели
4225;Служители, обслужващи запитвания на клиенти
4226;Рецепционисти с общи функции
4227;Анкетьори в изследвания
4229;Персонал, информиращ клиенти, н.д.
43;АДМИНИСТРАТИВЕН ПЕРСОНАЛ, ВОДЕЩ СЧЕТОВОДНИ И СТОКОВИ ДОКУМЕНТИ
431;Персонал, водещ счетоводни сметки и документи
4311;Служители, водещи счетоводни сметки и документи
4312;Служители, водещи статистически, финансови и застрахователни документи
4313;Служители, водещи платежни ведомости
432;Персонал, водещ стокови и транспортни документи
4321;Персонал, водещ стокови документи
4322;Персонал, водещ документи за производствени материали
4323;Персонал, водещ транспортни документи
44;ДРУГ ПОМОЩЕН АДМИНИСТРАТИВЕН ПЕРСОНАЛ
441;Друг помощен административен персонал
4411;Помощен персонал в библиотеки
4412;Пощальони и сортировачи
4413;Персонал по кодиране и редактиране на документи
4414;Писари и сродни на тях
4415;Деловодители/архивари
4416;Служители, човешки ресурси
4419;Друг помощен административен персонал, н.д.
5;ПЕРСОНАЛ, ЗАЕТ С УСЛУГИ ЗА НАСЕЛЕНИЕТО, ТЪРГОВИЯТА И ОХРАНАТА
51;ПЕРСОНАЛ, ЗАЕТ В СФЕРАТА НА ПЕРСОНАЛНИТЕ УСЛУГИ
511;Обслужващ персонал в транспорта
5111;Персонал, обслужващ пътници и стюарди
5112;Кондуктори
5113;Екскурзоводи
512;Готвачи
5120;Готвачи
513;Сервитьори и бармани
5131;Сервитьори
5132;Бармани
514;Фризьори, козметици и сродни на тях
5141;Фризьори
5142;Козметици и сродни на тях
515;Домакини и икономи
5151;Отговорници по чистотата и поддръжката на офиси, хотели и други учреждения
5152;Икономи и домашни помощници
5153;Домакини на сгради
516;Друг обслужващ персонал
5161;Астролози, гадатели и сродни на тях
5162;Компаньони и камериери
5163;Обслужващ персонал по траурни обреди и балсаматори
5164;Персонал, грижещ се за животни и домашни любимци
5165;Инструктори, обучение на водачи на моторни превозни средства
5169;Друг обслужващ персонал, н.д.
52;ПРОДАВАЧИ
521;Продавачи на пазари и амбулантни търговци
5211;Продавачи на пазари, павилиони и сергии
5212;Амбулантни търговци на храни
522;Продавачи в магазини
5221;Собственици на малки магазини
5222;Супервайзъри, магазини
5223;Продавач-консултанти
523;Касиери и продавачи на билети
5230;Касиери и продавачи на билети
524;Друг персонал, зает с търговия
5241;Манекени и други модели
5242;Демонстратори
5243;"Продавачи ""от врата до врата"""
5244;Продавачи в контактни центрове
5245;Обслужващ персонал на бензиностанции
5246;Обслужващ персонал на хранителни щандове
5249;Друг персонал, зает с търговия, н.д.
53;ПЕРСОНАЛ, ПОЛАГАЩ ГРИЖИ ЗА ХОРА
531;Персонал, грижещ се за деца и помощници на учители
5311;Персонал, грижещ се за деца
5312;Помощници на учители
532;Персонал, полагащ здравни грижи за хора
5321;Санитари
5322;Домашни санитари
5329;Персонал, полагащ здравни грижи за хора, н.д.
54;ПЕРСОНАЛ, ОСИГУРЯВАЩ ЗАЩИТА И СИГУРНОСТ
541;Персонал, осигуряващ защита и сигурност
5411;Пожарникари
5412;Полицаи
5413;Затворнически надзиратели
5414;Охранители
5419;Персонал, осигуряващ защита и сигурност, н.д.
6;КВАЛИФИЦИРАНИ РАБОТНИЦИ В СЕЛСКОТО, ГОРСКОТО, ЛОВНОТО И РИБНОТО СТОПАНСТВО
61;КВАЛИФИЦИРАНИ РАБОТНИЦИ В СЕЛСКОТО СТОПАНСТВО, ПРОИЗВЕЖДАЩИ ЗА ПАЗАРА
611;Градинари и растениевъди
6111;Полевъди и зеленчукопроизводители
6112;Овощари и работници, отглеждащи трайни насаждения
6113;Градинари и работници в оранжерии, парници и разсадници
6114;Работници, отглеждащи смесени култури
612;Животновъди
6121;Животновъди и производители на млечни продукти
6122;Птицевъди
6123;Пчелари и бубари
6129;Животновъди, н.д.
613;Производители на смесена (животновъдна и растениевъдна) продукция
6130;Производители на смесена (животновъдна и растениевъдна) продукция
62;КВАЛИФИЦИРАНИ РАБОТНИЦИ В ГОРСКОТО, РИБНОТО И ЛОВНОТО СТОПАНСТВО, ПРОИЗВЕЖДАЩИ ЗА ПАЗАРА
621;Горски работници и сродни на тях
6210;Горски работници и сродни на тях
622;Риболовци и ловци
6221;Работници, отглеждащи аквакултури
6222;Риболовци във вътрешни и крайбрежни води
6223;Риболовци в дълбоки морски води
6224;Ловци и трапери
63;СЕЛСКОСТОПАНСКИ РАБОТНИЦИ, РИБОЛОВЦИ И ЛОВЦИ, ПРОИЗВЕЖДАЩИ ЗА СОБСТВЕНО ПОТРЕБЛЕНИЕ
631;Растениевъди, произвеждащи за собствено потребление
6310;Растениевъди, произвеждащи за собствено потребление
632;Животновъди, произвеждащи за собствено потребление
6320;Животновъди, произвеждащи за собствено потребление
633;Селскостопански работници, отглеждащи растения и животни за собствено потребление
6330;Селскостопански работници, отглеждащи растения и животни за собствено потребление
634;Риболовци, ловци и берачи, произвеждащи за собствено потребление
6340;Риболовци, ловци и берачи, произвеждащи за собствено потребление
7;КВАЛИФИЦИРАНИ РАБОТНИЦИ И СРОДНИ НА ТЯХ ЗАНАЯТЧИИ
71;СТРОИТЕЛНИ РАБОТНИЦИ И СРОДНИ НА ТЯХ, БЕЗ ЕЛЕКТРОТЕХНИЦИ
711;Строители на сгради и сродни на тях
7111;Строители на жилищни сгради
7112;Зидари и сродни на тях
7113;Каменоделци, каменоцепачи, каменорезачи и каменодълбачи
7114;Бетонджии, кофражисти и сродни на тях
7115;Дърводелци и дограмаджии
7119;Строители на сгради и сродни на тях, н.д.
712;Работници по довършителни работи в строителството и сродни на тях
7121;Работници по изграждане и ремонт на покриви
7122;Работници по поставяне на подови настилки и облицовки
7123;Гипсаджии
7124;Работници по изолации
7125;Работници по стъклопоставяне
7126;Водопроводчици и тръбопроводчици
7127;Механици на климатични и охладителни инсталации
713;Бояджии, чистачи на фасади и сродни на тях
7131;Строителни бояджии и сродни на тях
7132;Бояджии с лакови бои и сродни на тях
7133;Чистачи на фасади и коминочистачи
72;МЕТАЛУРЗИ, МАШИНОСТРОИТЕЛИ И СРОДНИ НА ТЯХ РАБОТНИЦИ И ЗАНАЯТЧИИ
721;Леяри, заварчици, тенекеджии, монтажници на метални конструкции и сродни на тях
7211;Металурзи, леяри на метали, сърцари и сродни на тях
7212;Заварчици и резачи на метал
7213;Тенекеджии
7214;Изготвители и монтажници на метални конструкции
7215;Производители и монтажници на кабели, въжета, тръбни конструкции и други
722;Ковачи, производители на инструменти и сродни на тях
7221;Ковачи с чукове и преси
7222;Производители на инструменти и сродни на тях
7223;Настройчици на машини и сродни на тях
7224;Полировачи, шлифовчици на метали и точилари на инструменти
723;Машинни механици и монтьори
7231;Механици и монтьори на моторни превозни средства
7232;Механици и монтьори на самолетни двигатели
7233;Механици и монтьори на промишлени и селскостопански машини и оборудване
7234;Монтьори на велосипеди и сродни на тях
73;ЗАНАЯТЧИИ И ПЕЧАТАРИ
731;Занаятчии
7311;Работници по производство и ремонт на прецизни инструменти
7312;Производители и акордьори на музикални инструменти
7313;Бижутери и работници по обработка на скъпоценни камъни
7314;Грънчари и сродни на тях
7315;Производители, резачи, шлифовчици и работници по допълнителна обработка на стъкло
7316;Рисувачи на табели, художник-декоратори, гравьори и офортисти
7317;Майстори-занаятчии на изделия от дърво и сродни материали
7318;Майстори-занаятчии на изделия от текстил, кожа и сродни материали
7319;Занаятчии, н.д.
732;Печатари и сродни на тях
7321;Техници в предпечатната подготовка
